id,center_x,center_y,radius,crop_path,text
0,958,261,47,output/circles_output_pnid8\pnid_cropped_upscaled\crops\circle_0.png,C
1,1208,1010,114,output/circles_output_pnid8\pnid_cropped_upscaled\crops\circle_1.png,- . .
2,604,694,114,output/circles_output_pnid8\pnid_cropped_upscaled\crops\circle_2.png,
3,700,315,114,output/circles_output_pnid8\pnid_cropped_upscaled\crops\circle_3.png,
4,565,247,113,output/circles_output_pnid8\pnid_cropped_upscaled\crops\circle_4.png,S
5,394,321,98,output/circles_output_pnid8\pnid_cropped_upscaled\crops\circle_5.png,
6,673,655,113,output/circles_output_pnid8\pnid_cropped_upscaled\crops\circle_6.png,
7,1286,513,112,output/circles_output_pnid8\pnid_cropped_upscaled\crops\circle_7.png,
8,1005,943,108,output/circles_output_pnid8\pnid_cropped_upscaled\crops\circle_8.png,2 2
9,855,244,113,output/circles_output_pnid8\pnid_cropped_upscaled\crops\circle_9.png,
10,737,177,113,output/circles_output_pnid8\pnid_cropped_upscaled\crops\circle_10.png,
11,651,481,113,output/circles_output_pnid8\pnid_cropped_upscaled\crops\circle_11.png,
12,629,383,113,output/circles_output_pnid8\pnid_cropped_upscaled\crops\circle_12.png,
13,484,319,104,output/circles_output_pnid8\pnid_cropped_upscaled\crops\circle_13.png,
14,1235,910,104,output/circles_output_pnid8\pnid_cropped_upscaled\crops\circle_14.png,02
15,313,331,108,output/circles_output_pnid8\pnid_cropped_upscaled\crops\circle_15.png,- 6
16,694,245,110,output/circles_output_pnid8\pnid_cropped_upscaled\crops\circle_16.png,
17,1119,873,65,output/circles_output_pnid8\pnid_cropped_upscaled\crops\circle_17.png,7
18,568,397,109,output/circles_output_pnid8\pnid_cropped_upscaled\crops\circle_18.png,
19,463,485,114,output/circles_output_pnid8\pnid_cropped_upscaled\crops\circle_19.png,
20,781,243,108,output/circles_output_pnid8\pnid_cropped_upscaled\crops\circle_20.png,
21,562,127,100,output/circles_output_pnid8\pnid_cropped_upscaled\crops\circle_21.png,
22,755,655,97,output/circles_output_pnid8\pnid_cropped_upscaled\crops\circle_22.png,
23,1382,583,42,output/circles_output_pnid8\pnid_cropped_upscaled\crops\circle_23.png,
24,685,64,62,output/circles_output_pnid8\pnid_cropped_upscaled\crops\circle_24.png,
25,899,673,97,output/circles_output_pnid8\pnid_cropped_upscaled\crops\circle_25.png,
