id,center_x,center_y,radius,text_pixels,fill_ratio,edge_support,crop_path
0,542,562,11,71,0.4946,0.9694,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_0.png
1,313,280,11,54,0.4683,0.9694,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_1.png
2,1180,799,11,61,0.4051,0.8102,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_2.png
3,1008,881,11,47,0.3236,0.6511,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_3.png
4,719,646,11,20,0.1763,0.5932,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_4.png
5,1042,752,11,59,0.2894,0.6077,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_5.png
6,747,39,11,62,0.3841,0.6366,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_6.png
7,542,674,12,81,0.4465,0.7029,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_7.png
8,974,807,12,64,0.4819,1.1273,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_8.png
9,1295,410,13,92,0.4445,0.7346,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_9.png
10,681,557,13,52,0.3729,0.7468,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_10.png
11,1382,619,14,112,0.4515,0.7389,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_11.png
12,1013,752,14,66,0.2095,0.557,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_12.png
13,1200,615,15,144,0.4711,0.6154,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_13.png
14,890,760,16,56,0.3345,0.9151,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_14.png
15,649,634,16,20,0.1405,0.4775,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_15.png
16,791,359,16,71,0.1815,0.6366,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_16.png
17,1031,896,16,44,0.2176,0.5173,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_17.png
18,764,434,18,171,0.4205,0.7781,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_18.png
19,237,247,18,108,0.3242,0.7604,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_19.png
20,944,317,18,25,0.1808,0.5836,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_20.png
21,1313,942,19,175,0.4664,0.8963,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_21.png
22,752,316,19,55,0.3606,0.913,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_22.png
23,1215,962,19,56,0.2927,0.7874,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_23.png
24,906,952,19,131,0.44,0.8377,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_24.png
25,913,821,19,44,0.2319,0.6534,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_25.png
26,1169,875,19,165,0.5423,0.7539,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_26.png
27,235,197,19,101,0.2654,0.578,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_27.png
28,1509,996,19,52,0.1199,0.3351,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_28.png
29,1005,1037,20,277,0.5157,0.9072,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_29.png
30,665,122,20,101,0.2698,0.7958,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_30.png
31,1217,1120,20,247,0.4472,0.5968,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_31.png
32,1331,959,20,20,0.1647,0.5889,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_32.png
33,1057,883,20,87,0.2117,0.573,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_33.png
34,1542,938,20,119,0.2324,0.4615,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_34.png
35,95,234,21,321,0.5399,0.8261,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_35.png
36,1350,608,21,226,0.4352,0.8261,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_36.png
37,903,993,21,176,0.4576,0.6973,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_37.png
38,895,469,21,126,0.3421,0.7503,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_38.png
39,1552,962,21,99,0.3154,0.6897,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_39.png
40,310,242,21,23,0.1797,0.6821,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_40.png
41,793,663,22,359,0.4295,1.0924,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_41.png
42,164,211,22,267,0.5117,0.9405,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_42.png
43,770,655,22,253,0.39,0.6222,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_43.png
44,145,236,22,246,0.3453,0.5932,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_44.png
45,806,392,22,157,0.2959,0.7307,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_45.png
46,576,241,22,78,0.1841,0.4992,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_46.png
47,1534,1000,22,73,0.1881,0.4558,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_47.png
48,709,749,22,124,0.221,0.5643,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_48.png
49,596,505,22,72,0.2012,0.4268,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_49.png
50,1221,904,22,96,0.219,0.4051,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_50.png
51,231,162,22,28,0.1282,0.4847,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_51.png
52,724,237,23,137,0.296,0.6435,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_52.png
53,702,434,23,30,0.216,0.6643,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_53.png
54,994,902,23,147,0.2425,0.4429,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_54.png
55,325,434,23,87,0.2238,0.5051,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_55.png
56,900,160,23,30,0.1342,0.3806,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_56.png
57,932,771,23,95,0.2262,0.5051,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_57.png
58,1051,855,24,148,0.3338,0.882,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_58.png
59,513,208,24,73,0.252,0.7626,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_59.png
60,1005,821,24,73,0.2083,0.6499,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_60.png
61,310,309,24,219,0.3305,0.6631,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_61.png
62,1332,1070,24,49,0.1774,0.7029,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_62.png
63,541,208,24,72,0.2266,0.557,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_63.png
64,167,185,24,79,0.1929,0.431,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_64.png
65,461,323,25,247,0.3667,0.8531,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_65.png
66,726,76,25,428,0.5215,0.8976,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_66.png
67,1260,992,25,157,0.3107,0.7003,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_67.png
68,467,401,25,27,0.1946,0.7703,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_68.png
69,589,288,25,430,0.5424,0.7003,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_69.png
70,1245,1069,25,233,0.3774,0.8149,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_70.png
71,660,248,25,26,0.1543,0.5793,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_71.png
72,616,286,25,135,0.2236,0.5411,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_72.png
73,660,396,25,22,0.112,0.4902,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_73.png
74,578,772,26,43,0.1187,0.3856,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_74.png
75,1207,557,27,359,0.4292,0.8901,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_75.png
76,892,856,27,80,0.2305,0.8488,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_76.png
77,580,602,27,233,0.3131,0.5423,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_77.png
78,526,513,27,75,0.1786,0.4716,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_78.png
79,421,240,28,247,0.3126,0.7503,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_79.png
80,953,234,28,237,0.255,0.5173,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_80.png
81,719,44,28,360,0.3975,0.5684,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_81.png
82,438,513,28,20,0.0727,0.3354,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_82.png
83,420,106,28,84,0.1117,0.2899,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_83.png
84,737,114,29,118,0.2218,0.697,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_84.png
85,1162,852,29,262,0.2816,0.6147,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_85.png
86,614,596,29,177,0.2343,0.4336,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_86.png
87,1272,559,29,28,0.1181,0.5269,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_87.png
88,559,329,29,112,0.1427,0.472,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_88.png
89,955,881,29,143,0.1847,0.4555,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_89.png
90,392,323,29,48,0.1272,0.3458,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_90.png
91,815,367,30,410,0.3968,1.0716,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_91.png
92,474,235,30,222,0.29,0.748,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_92.png
93,1028,864,30,191,0.2546,0.748,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_93.png
94,695,663,30,386,0.3887,0.5889,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_94.png
95,677,152,30,161,0.214,0.6897,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_95.png
96,615,564,30,253,0.2458,0.5146,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_96.png
97,369,440,30,205,0.267,0.5677,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_97.png
98,1179,831,30,158,0.2203,0.4881,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_98.png
99,1218,871,30,18,0.1185,0.4191,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_99.png
100,1182,1008,30,62,0.1008,0.3979,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_100.png
101,638,731,30,39,0.0736,0.3661,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_101.png
